mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2017-04-30 04:36:15.781169920,-74.9,-109.32,1376.0,898.0,-1301.0,942.3,449.0,340.8,6,S,1B,3031
2021-12-25 10:00:31.524571904,-74.9,-109.32,1310.0,121.0,-1254.0,119.2,377.0,139.1,6,S,1B,3031
2018-01-30 05:08:20.199084032,-74.9,-109.32,1438.0,71.0,-1422.0,70.9,212.0,61.4,11,S,1B,3031
2021-12-25 15:24:41.075109120,-74.9,-109.32,1339.0,39.0,-1236.0,38.2,516.0,45.7,20,S,2B,3031
2018-01-13 04:36:01.642255104,-74.9,-109.32,1335.0,42.0,-1289.0,38.0,350.0,77.7,5,S,1A,3031
2021-03-16 04:36:19.375070720,-74.9,-109.32,1301.0,45.0,-1206.0,40.2,487.0,66.0,6,S,1B,3031
2020-01-14 10:00:40.089533952,-74.9,-109.32,1296.0,81.0,-1219.0,78.2,440.0,101.1,11,S,1A,3031
2018-02-12 04:36:00.837582080,-74.9,-109.32,1344.0,56.0,-1256.0,51.3,478.0,79.3,6,S,1B,3031
2020-12-24 10:00:26.143604736,-74.9,-109.32,1217.0,157.0,-1155.0,148.2,382.0,219.9,5,S,1A,3031
2018-02-15 04:35:39.784273920,-74.9,-109.32,1315.0,53.0,-1222.0,48.4,487.0,76.4,11,S,1B,3031
2020-12-30 10:00:25.851612928,-74.9,-109.32,986.0,137.0,-947.0,132.8,271.0,178.8,6,S,1B,3031
2021-10-24 04:36:29.198265088,-74.9,-109.32,1333.0,64.0,-1203.0,56.2,573.0,89.6,5,S,1A,3031
2017-08-28 04:36:02.386603008,-74.9,-109.32,1366.0,64.0,-1334.0,60.8,293.0,104.7,6,S,1B,3031
2022-01-10 15:44:36.575109120,-74.9,-109.32,1325.0,12.0,-1242.0,12.2,462.0,12.8,79,S,2B,3031
2021-12-16 15:44:37.575109120,-74.9,-109.32,1349.0,21.0,-1257.0,21.0,488.0,24.0,30,S,2B,3031
2020-10-11 04:36:23.379542016,-74.9,-109.32,1256.0,68.0,-1147.0,60.8,511.0,97.5,6,S,1B,3031
2020-01-18 04:36:35.374320128,-74.9,-109.32,1263.0,54.0,-1177.0,50.1,459.0,75.6,11,S,1A,3031
2022-01-03 07:52:28.280709888,-74.9,-109.32,1335.0,58.0,-1246.0,56.8,479.0,63.8,15,L,9.0,3031
2018-02-06 04:36:00.925107968,-74.9,-109.32,1321.0,53.0,-1237.0,45.8,464.0,88.5,5,S,1A,3031
2022-01-26 15:14:42.575109120,-74.9,-109.32,1323.0,64.0,-1279.0,63.6,341.0,68.6,9,S,2B,3031
2018-01-31 04:36:01.042959104,-74.9,-109.32,1409.0,94.0,-1347.0,89.8,416.0,127.6,6,S,1B,3031
2018-11-30 04:35:49.100392960,-74.9,-109.32,1304.0,48.0,-1188.0,43.7,537.0,64.0,11,S,1B,3031
2018-02-17 10:00:26.333008896,-74.9,-109.32,1357.0,108.0,-1291.0,103.7,418.0,146.3,11,S,1A,3031
2015-09-17 04:36:34.593161728,-74.9,-109.32,1504.0,220.0,-1443.0,228.2,423.0,89.4,12,S,1A,3031
2020-12-12 10:00:26.732177920,-74.9,-109.32,1508.0,196.0,-1388.0,183.8,590.0,252.6,5,S,1A,3031
2021-10-30 04:36:29.063456000,-74.9,-109.32,1293.0,73.0,-1226.0,68.1,410.0,106.8,6,S,1B,3031
2020-03-15 04:36:13.633366272,-74.9,-109.32,1181.0,45.0,-1053.0,36.4,535.0,67.2,5,S,1A,3031
2019-02-06 09:59:51.327053056,-74.9,-109.32,1321.0,85.0,-1252.0,81.1,420.0,113.8,11,S,1B,3031
2021-02-22 05:09:01.329766912,-74.9,-109.32,1345.0,124.0,-1296.0,125.2,358.0,106.9,5,S,1A,3031
2019-01-25 15:24:45.575109120,-74.9,-109.32,1385.0,36.0,-1313.0,36.2,441.0,35.0,30,S,2B,3031
2021-10-26 10:00:33.730220032,-74.9,-109.32,1094.0,194.0,-1051.0,187.2,304.0,266.4,6,S,1B,3031
2021-02-16 05:09:01.446471936,-74.9,-109.32,1339.0,160.0,-1300.0,161.9,320.0,116.5,6,S,1B,3031
2018-12-20 09:59:52.868782080,-74.9,-109.32,1293.0,70.0,-1241.0,67.6,365.0,91.9,11,S,1B,3031
2017-10-15 04:36:03.453582080,-74.9,-109.32,1350.0,54.0,-1300.0,50.4,364.0,86.9,6,S,1B,3031
